Salesman Code,Merge,Salesman BI,Product Group,April,May,June,July,August,September,October,November,December,January,February,March
5490000725,5490000725BD,5490000725,BD,,,,,,,,,,54158.999999460262,72859.99999927546,77300.999999231455
5490000725,5490000725YY,5490000725,YY,,,,,,,,,,4682.9999999266156,5154.9999999125776,3891.9999999313573
5490000725,5490000725AJ,5490000725,AJ,,,,,,,,,,3291.2000000000003,3803,3996.4
5490000725,5490000725RD,5490000725,RD,,,,,,,,,,1525.26,1817.3599999999997,2096.1
5490000725,5490000725PDC,5490000725,PDC,,,,,,,,,,702.84959999999978,857.46060000000011,722.99040000000025
5490000725,5490000725AJP,5490000725,AJP,,,,,,,,,,493.9199999999999,503.99999999999989,362.87999999999994
5490000725,5490000725RDC,5490000725,RDC,,,,,,,,,,702.71999999999991,178.56,126.72
5490000725,5490000725TKM,5490000725,TKM,,,,,,,,,,136.80000000000001,232.8,141.60000000000002
5490000725,5490000725RM,5490000725,RM,,,,,,,,,,62,128.19999999999999,64.8
5490000725,5490000725RKR,5490000725,RKR,,,,,,,,,,25.199999999999996,14.399999999999999,14.399999999999999
5490000725,5490000725QM,5490000725,QM,,,,,,,,,,16,13,8
1190064722,1190064722RD,1190064722,RD,532387.36000000068,455190.7,464090.39999999991,449158.0999999998,30232,,,,,,,
1190064722,1190064722AJ,1190064722,AJ,379972.1,305303.09999999998,237457.59999999998,302376.09999999998,7856,,,,,,,
1190064722,1190064722YY,1190064722,YY,234274.99999630844,220341.99999682978,211945.99999658953,270052.99999642337,9805.9999998337771,,,,,,,
1190064722,1190064722BD,1190064722,BD,102601.99999897571,111638.9999988846,156115.99999844056,152243.99999848011,755.99999999246415,,,,,,,
1190064722,1190064722PDC,1190064722,PDC,63013.214399999983,37471.602600000006,34061.270999999993,38720.304600000003,4823.1647999999986,,,,,,,
1190064722,1190064722TKM,1190064722,TKM,35876.400000000023,30743.999999999982,28983.599999999977,51828.000000000044,2808,,,,,,,
1190064722,1190064722RM,1190064722,RM,32320.899999999969,27392.099999999969,24362.399999999987,29863.899999999994,1166.5000000000002,,,,,,,
1190064722,1190064722RDC,1190064722,RDC,22019.040000000001,19909.440000000024,15828.192000000006,16240.032000000028,1908.864,,,,,,,
1190064722,1190064722AJP,1190064722,AJP,15906.239999999991,12176.639999999998,10120.319999999987,12952.799999999979,715.68,,,,,,,
1190064722,1190064722RKR,1190064722,RKR,16165.199999999992,10859.399999999991,11651.399999999998,4128,,,,,,,,
1190064722,1190064722ND,1190064722,ND,2351.7200000000012,2305.7400000000025,2917.5600000000027,2132.6600000000003,196.02,,,,,,,
1190064722,1190064722FP,1190064722,FP,4234.4640000000072,1310.9279999999994,955.84799999999939,1381.0559999999991,131.25599999999997,-14.568,,,,,,
1190064722,1190064722AMV,1190064722,AMV,6.9999999998880016,6.9999999998880007,10.999999999824002,144.99999999767999,,,,,,,,
1190064722,1190064722LPD,1190064722,LPD,,,12,12,12,,,,,,,
1190064722,1190064722AJA,1190064722,AJA,,0.99999999999000011,3.9999999999600004,28,,,,,,-18.100000000000001,-0.2,
5490000721,5490000721AJ,5490000721,AJ,373.20000000000005,1183.6560000000002,547.6,1214.4000000000001,1178.7,682.8,1117.9000000000001,2231.6000000000004,2499.1999999999998,729.59999999999991,2481.6000000000004,1599.2
5490000721,5490000721RD,5490000721,RD,386.80000000000007,642.89999999999986,320.38000000000005,541.53,370.19999999999993,495.50000000000006,560.99999999999989,1364.6650000000002,1152.7999999999993,219.2,602,672.8
5490000721,5490000721FP,5490000721,FP,218.88,817.45200000000011,189.31199999999998,386.60399999999993,613.39800000000014,540.25200000000018,541.84800000000018,570.18000000000018,525.07200000000012,199.77599999999998,,
5490000721,5490000721BD,5490000721,BD,165.99999999839986,150.81666666522995,213.99999999792581,199.99999999814386,219.79999999790275,172.999999998318,296.49999999713958,223.58333333116681,281.99999999725765,101.16666666569799,267.83333333078673,212.99999999797788
