Salesman Code,Sales Office,April,May,June,July,August,September
1190011201,Thonburi,35.64,757.61999999999989,148.5,,122.39999999999999,70.460000000000008
1190011203,Thonburi,,3.15,,,,
1190011214,Thonburi,,427.68,8.5,59.400000000000006,,
1190011401,Nonthaburi,92.699999999999989,1504.6200000000001,5.94,29.700000000000003,60.120000000000005,383.93999999999994
1190011412,Nonthaburi,100.16000000000001,256.88,120.54,118.80000000000001,,154.63999999999999
1190011501,Pattanakarn,191.91999999999996,1993.0000000000002,240.35999999999996,186.89999999999998,230.44,414.21999999999991
1190011701,Bangpoo,136.62,935.12,184.95999999999998,231.76,151.98000000000002,215.47999999999996
1190011801,Ramindra,11.88,1512,23.76,41.58,,17.82
1190017001,Pathumthani,118.80000000000001,1686.5800000000002,89.100000000000009,368.72,250.39999999999998,178.20000000000002
1190017013,Pathumthani,43.32,380.96,,91.46,188.57999999999998,163.79999999999998
1190017014,Pathumthani,,244.8,118.80000000000001,59.400000000000006,,148.5
1190021901,Chiangmai,166.51999999999998,1644.8000000000002,1233.0399999999997,576.93999999999994,759.42000000000007,668.04000000000008
1190021902,Chiangmai,216,714.59999999999991,415.79999999999995,50.4,67.5,281.7
1190022001,Chiangrai,620.66,1893.54,1227.32,730.59999999999991,847.66,1069.8799999999999
1190022101,Phrae,623.54000000000019,1326.72,712.75999999999988,397.32,310.53999999999996,563.01999999999987
1190022201,Lampang,469.2,1822.06,670.68,536.22,865.81999999999982,1280.74
1190022301,P.Sanulok,60.12,771.14,695.33999999999992,161.32,404.65999999999997,226.16
1190022302,P.Sanulok,142.56,1963.76,97.2,188.03999999999996,254.6,135
1190022401,N.Sawan,1059.8399999999999,938.88000000000011,1164.6000000000001,178.20000000000002,1037.3400000000001,1056.5999999999999
1190022402,N.Sawan,53.46,371.42,60.120000000000005,56.02,94.939999999999984,55.62
1190022510,Kampeng.P,241.20000000000002,1946.7,221.12,89.820000000000007,652.5,968.44
1190027101,Tak,653.91999999999996,2099.7800000000002,170.94,62.58,186.89999999999998,67.8
1190032602,Rayong,475.19999999999993,2758.4,1856.7600000000002,780.32,460.45999999999992,1471.3400000000001
1190032701,Chachoengsao,107.63999999999999,2306.7000000000003,833.21999999999991,112.86,95.04,352.97999999999996
1190032801,Chantaburi,264.11999999999995,2264.5000000000005,665.2399999999999,301.82,320.65999999999997,562.81999999999994
1190032901,Lopburi,269.09999999999997,887.40000000000009,469.97999999999996,191.33999999999997,380.51999999999992,248.39999999999998
1190032902,Lopburi,325.43999999999994,1056.2199999999998,298.27999999999997,483.29999999999995,329.94,463.71999999999997
1190033001,Ratchaburi,749.69999999999993,2470.0400000000004,110.39999999999999,287.79999999999995,163.26,156.18
1190033002,Ratchaburi,298.08,576.90000000000009,143.82,114.69999999999999,164.7,67.5
1190033101,Huahin,194.07999999999998,847.16,177.47999999999996,101.19999999999999,129.66,160.07999999999998
1190033102,Huahin,180.07999999999998,885.78000000000009,104.05999999999999,89.32,126.69999999999999,421.29999999999995
1190033201,Suphanburi,441.66,864.3599999999999,550.82000000000005,289.43999999999994,241.17999999999995,244.07999999999993
1190033202,Suphanburi,79.680000000000007,814.18,93.419999999999987,55.62,476.12,429.82
1190033301,Nakornpathom,333.9,2404.0400000000004,840.83999999999992,1208.3600000000004,619.93999999999994,324.76
1190033302,Nakornpathom,428.32,535.21999999999991,180.16,441.84,698.98,359.93999999999994
1190037301,Chonburi,489.2399999999999,2014.7399999999998,260.97999999999996,67.5,65.34,169.2
1190037302,Chonburi,,,,356.4,207.07999999999998,722.42000000000007
1190037401,Sa Kaeo,25.5,2026.4399999999998,1182.2399999999998,-995.39999999999986,96.78,403.2
1190043401,Korat,432.54,839.15999999999985,254.33999999999997,607.5,370.79999999999995,684.04
1190043402,Korat,495.78,1168.0200000000002,275.08,383.76,267.3,526.5
1190043501,Ubolratchathani,372.41999999999996,764.64000000000021,255.95999999999998,484.37999999999994,321.29999999999995,395.46
1190043502,Ubolratchathani,813.29000000000019,1143.69,389.81999999999994,339.19999999999993,367.36,418.97999999999996
1190043601,Roi-et,161.09999999999997,889.2,219.6,203.22,146.16,506.34
1190043602,Roi-et,352.43999999999994,903.96000000000038,245.51999999999998,604.43999999999994,504.35999999999996,552.41999999999996
1190043701,Surin,420.65999999999997,1166.04,227.16,456.29999999999995,717.48,175.86
1190043702,Surin,250.74,532.43999999999994,371.69999999999993,5.94,42.300000000000004,227.88
1190043801,Khonkaen,418.32,1063.8,127.62,53.460000000000008,304.2,658.43999999999994
1190043802,Khonkaen,89.820000000000007,593.28,60.84,29.700000000000003,256.86,180.89999999999998
1190043811,Khonkaen,,,1.0499999999999998,,,
1190043901,Udonthani,231.48,1074.06,1243.0800000000004,378,189,11.88
1190043902,Udonthani,548.66,739.6400000000001,5.94,639.36000000000013,356.4,667.8
1190044001,S.Nakon,218.96,1363.32,202.49999999999997,277.56,261.46000000000004,947.34
1190044002,S.Nakon,43.02,358.02,42.300000000000004,109.8,37.799999999999997,219.41999999999996
1190044013,S.Nakon,,,,,,92.699999999999989
1190044101,Chumphae,871.92,2148.48,196.55999999999997,59.400000000000006,442.97999999999996,836.64
1190054201,Hat-yai,185.39999999999998,1238.04,216.59999999999997,101.9,55.2,164.9
1190054202,Hat-yai,231.68,835.57999999999993,12.6,140.92000000000002,32.260000000000005,511.85999999999996
1190054301,Suratthani,155.69999999999999,501.12,155.69999999999999,103.03999999999999,74.88,104.58
1190054401,N.Thamarat,159.47999999999999,2170.9800000000009,122.39999999999999,62.999999999999993,203.22,228.41999999999996
1190054501,Trang,128.34,363.96000000000004,55.62,17.82,37.799999999999997,
1190054601,Phuket,132.51999999999998,548.37999999999988,73.44,180.04000000000002,200.34,464.07999999999993
