Salesman Code,Sales Office,April,May,June,July,August,September
1190011201,Thonburi,1116.2,1363,1646,1212.7,1613.1,718.2
1190011203,Thonburi,,2.7,,,,
1190011214,Thonburi,278.2,449.9,374,123,759.8,270.10000000000002
1190011401,Nonthaburi,245.4,714.8,109,282.2,219,210.8
1190011412,Nonthaburi,424.4,438.4,314.39999999999998,478.20000000000005,313,559.4
1190011501,Pattanakarn,2568.2000000000003,1641.5999999999997,2115,1951.7999999999997,1885.7999999999997,2177
1190011701,Bangpoo,879.3,1087.3999999999999,811.5,937.9,1149.8,798.2
1190011801,Ramindra,151.00000000000003,287.2,129.9,386.4,121.5,800.09999999999991
1190017001,Pathumthani,1953.2999999999997,2885.1000000000004,1150.8000000000002,1282.9000000000001,1408,1512.6
1190017013,Pathumthani,408.30000000000007,394,138.30000000000001,353.7,463.4,363.29999999999995
1190017014,Pathumthani,820,761.4,1357.5000000000002,1617.3000000000002,852.4,1364
1190021901,Chiangmai,782.6,659.8,552.9,867.9,680.60000000000014,861
1190021902,Chiangmai,310.89999999999998,455.90000000000003,345.3,181.9,260.5,357.2
1190022001,Chiangrai,4016.2000000000007,1456.5,2403.6000000000004,1999.9,2586.6999999999994,2821.4
1190022101,Phrae,1907.0999999999997,2242.0000000000005,1757.5999999999997,1744.5000000000002,1775.2,1995.8000000000004
1190022201,Lampang,1061.3999999999999,998.19999999999982,862.40000000000009,1237.4999999999998,1165.2999999999997,1146.1999999999998
1190022301,P.Sanulok,680.40000000000009,753.39999999999986,549.4,674.5,1116.7,390.2
1190022302,P.Sanulok,498.70000000000005,519.19999999999993,269.90000000000003,570.80000000000007,647.60000000000014,693
1190022401,N.Sawan,889.6,1157.4000000000001,689.3,891.8,510.5,872.09999999999991
1190022402,N.Sawan,182.6,352.2,321.7,249.2,192.6,353.5
1190022510,Kampeng.P,1152.4000000000003,758.90000000000009,553.6,711.59999999999991,959.30000000000007,598.40000000000009
1190022511,Kampeng.P,,0.6,,,,
1190027101,Tak,1405,1127.3,1522.5,1777.0999999999997,1533.2999999999997,1034.7
1190032602,Rayong,2618.8000000000002,2312.1,2204.1,2363.4999999999991,2866.1,2815.0999999999995
1190032701,Chachoengsao,913.50000000000011,1050.0999999999999,800.9,843.30000000000018,819.10000000000014,768.6
1190032801,Chantaburi,1373.4,1183.8,1141.5999999999999,1203.6999999999996,806.4000000000002,919.00000000000011
1190032901,Lopburi,304.50000000000006,394.59999999999997,272,331.40000000000003,257.8,368.59999999999997
1190032902,Lopburi,287.70000000000005,527.79999999999995,415.4,478,447.9,560
1190033001,Ratchaburi,665.3,1010.6999999999999,998.80000000000007,784.2,624.79999999999995,884.80000000000007
1190033002,Ratchaburi,1035.1999999999998,833.89999999999986,992.6,1140.5999999999999,1107.0000000000002,1031.8
1190033101,Huahin,193.6,227.00000000000003,214.8,226,269.20000000000005,307.60000000000002
1190033102,Huahin,354,212.2,294.39999999999998,61,186.8,152
1190033201,Suphanburi,1087.2000000000003,744.99999999999977,489.2,697.40000000000009,867.80000000000007,414.59999999999997
1190033202,Suphanburi,274,230.8,319.39999999999998,315.39999999999998,212.6,280.89999999999998
1190033301,Nakornpathom,1553,474.9,2575.1,355.8,418.5,635
1190033302,Nakornpathom,764.7,327.7,362.59999999999997,676.00000000000011,419.2,487.3
1190037301,Chonburi,1125.2,1548.8,1081.1999999999998,294.39999999999998,692.80000000000007,1634.1
1190037302,Chonburi,,,,437.1,335.4,376.4
1190037401,Sa Kaeo,210,293.60000000000002,244,229,373,273.39999999999998
1190043401,Korat,953.39999999999986,608.69999999999993,674.6,658.00000000000011,775.09999999999991,696.4
1190043402,Korat,2390,1625.4,827.40000000000009,1303.6999999999998,1187.9000000000001,2046.9999999999998
1190043501,Ubolratchathani,1125.6999999999998,867.59999999999991,677.5,1098.9000000000001,1020.9,1120.2
1190043502,Ubolratchathani,445.2,446.40000000000003,280.90000000000003,375.40000000000009,569.30000000000007,516.6
1190043601,Roi-et,1030.6000000000001,1087.4000000000001,892.50000000000011,1104.2,878.7,986.1
1190043602,Roi-et,334.7,465.9,655.29999999999995,605.59999999999991,364.90000000000003,434.8
1190043701,Surin,767.69999999999993,715.4,1402.5,545.60000000000014,1006.1999999999999,1679.5
1190043702,Surin,818.7,726.50000000000011,596.1,607.80000000000007,653.1,445.9
1190043801,Khonkaen,1097.5999999999999,906.5,329.7,638.4,661.5,492.2
1190043802,Khonkaen,416.1,319.60000000000002,357.8,245,279.2,324.8
1190043901,Udonthani,342.3,340.29999999999995,428,321.79999999999995,530.29999999999995,489.59999999999997
1190043902,Udonthani,961.5,359.5,653.70000000000005,664.29999999999984,344.99999999999994,825
1190044001,S.Nakon,770.19999999999993,467.5,775.29999999999984,453.50000000000011,694.2,520.30000000000007
1190044002,S.Nakon,60.8,164.20000000000002,179.3,135.4,108.8,310.5
1190044013,S.Nakon,,,,,,72.7
1190044101,Chumphae,1513.2999999999997,1017.8999999999999,628.4,1314.1999999999998,1027.6999999999998,1178.8
1190054201,Hat-yai,1968.6000000000004,1610.1999999999998,1963.3000000000002,1128.2,1697.8000000000004,1868.0000000000002
1190054202,Hat-yai,934.7,1157.6999999999998,526.90000000000009,953,1047.3999999999999,652.20000000000005
1190054301,Suratthani,1119.1999999999998,744.3,811.19999999999993,898.09999999999991,768.69999999999993,981.8
1190054304,Suratthani,,,0.6,,,
1190054401,N.Thamarat,1618.4,4265.8,4082.2000000000003,1511.9999999999998,5188.5999999999995,2692.2
1190054501,Trang,345.8,426,333.8,1316.8,223.4,239.8
1190054601,Phuket,3332.4,2027.6,2649,2874.6,2627.2999999999997,3077.1
